Districts,population_size
Masaka,335700.0
Butebo,121200.0
Alebtong,266100.0
Tororo,597500.0
Moroto,118500.0
Kagadi,430200.0
Kamuli,558500.0
Budaka,253100.0
Maracha,208300.0
Buikwe,474100.0
Luwero,523600.0
Mpigi,286600.0
Kayunga,407700.0
Kyankwanzi,282800.0
Kiboga,171200.0
Mukono,701400.0
Nakaseke,234600.0
Kassanda,312700.0
Mbale,586300.0
Bukwo,119100.0
Kapchorwa,123800.0
Bukedea,259300.0
Kabarole,337800.0
Masindi,340500.0
Kitagwenda,178300.0
Busia,384000.0
Kalangala,67200.0
Ntungamo,540800.0
Mbarara,390700.0
Mitooma,194300.0
Nakasongola,215200.0
Mubende,554800.0
Buvuma,128900.0
Kaberamaido,132700.0
Soroti,363600.0
Bunyangabu,195100.0
Ibanda,277300.0
Wakiso,2.9152e6
Amolatar,170100.0
Lamwo,143800.0
Kaabong,125400.0
Iganga,402600.0
Namayingo,237000.0
Rukungiri,333800.0
Pakwach,196800.0
Rubanda,208500.0
Luuka,267100.0
Kole,284300.0
Kaliro,288500.0
Omoro,196400.0
Rukiga,105400.0
Amuru,216800.0
Kitgum,223600.0
Kanungu,277300.0
Zombo,283100.0
Jinja,515100.0
Yumbe,663600.0
Buyende,414600.0
Kisoro,315400.0
Nakapiripirit,113300.0
Gulu,325600.0
Bukomansimbi,156600.0
Dokolo,215500.0
Kween,109500.0
Serere,359500.0
Amuria,225000.0
Adjumani,235900.0
Kyegegwa,441000.0
Kyenjojo,525400.0
Kasese,793200.0
Sheema,220500.0
Rubirizi,144100.0
Butaleja,300500.0
Kibaale,198200.0
Kikuube,358700.0
Lwengo,290500.0
Agago,251200.0
Apac,226600.0
Pallisa,353400.0
Lira,478500.0
Kotido,206500.0
Kalungu,194100.0
Napak,158300.0
Namutumba,306500.0
Bugiri,480400.0
Otuke,133500.0
Nebbi,282600.0
Kampala,1.6806e6
Pader,197300.0
Abim,153500.0
Bududa,271100.0
Manafwa,175200.0
Sironko,274300.0
Katakwi,194600.0
Kumi,284800.0
Buliisa,149300.0
Kamwenge,335200.0
Lyantonde,110500.0
Ssembabule,296100.0
Butambala,107800.0
Kiruhura,185700.0
Buhweju,144100.0
Kakumiro,473400.0
Kabale,248700.0
Amudat,134900.0
Mayuge,565100.0
Nwoya,236000.0
Oyam,453700.0
Koboko,258000.0
Kibuku,250600.0
Kwania,216600.0
Nabilatuk,89700.0
Bugweri,191600.0
Madi Okollo,164200.0
Karenga,68500.0
Namisindwa,231500.0
Bulambuli,230600.0
Ngora,165800.0
Kapelebyong,103800.0
Moyo,109500.0
Ntoroko,76000.0
Bundibugyo,263800.0
Kiryandongo,313800.0
Mityana,362500.0
Kyotera,261000.0
Gomba,173800.0
Rakai,317700.0
Bushenyi,248300.0
Isingiro,596400.0
Rwampara,144600.0
Hoima,374500.0
Kalaki,138700.0
Obongi,49100.0
Kazo,217600.0
Terego,233700.0
Arua,517300.0
